INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
2532 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3040230014,10/13/2017,Open,Site downloaded for cleaning,,1017880,185004
872 5 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1013830001,10/13/2017,Open,Site downloaded for cleaning,,992921,219869
165 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003930004,10/08/2017,Open,Site downloaded for cleaning,,989876,204191
215 ST ANNS AVENUE,BRONX,01 BRONX,Precinct 40,08,2022650048,10/03/2017,Open,Site downloaded for cleaning,,1007027,233109
16 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220044,12/29/2017,Open,Site to be cleaned.,,1000065,233171
155 AVENUE O,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065800036,01/12/2018,Open,Site to be cleaned.,,990084,161797
68 EAST    3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004440022,01/25/2018,Open,Site to be cleaned.,,987378,203444
135 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004240029,01/14/2018,Open,Site to be cleaned.,,986147,201405
647 EAST   11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003940044,01/18/2018,Open,Site to be cleaned.,,990257,204141
2128 MERMAID AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070580001,12/11/2017,Open,Site to be cleaned.,,987493,149211
4522 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007480046,12/27/2017,Open,Site to be cleaned.,,982754,174781
1209 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031830080,12/07/2017,Open,Site to be cleaned.,,1003182,193360
226 WEST  116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018310043,12/12/2017,Open,Site to be cleaned.,,997037,232110
1262 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032270032,12/06/2017,Open,Site to be cleaned.,,1004543,193554
1543 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033940005,12/07/2017,Open,Site to be cleaned.,,1007424,189327
109-19 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4093160026,12/07/2017,Open,Site to be cleaned.,,1029612,191320
1526 BAY RIDGE AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061580018,12/16/2017,Open,Site to be cleaned.,,984553,165407
79 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480021,12/20/2017,Open,Site to be cleaned.,,988350,201167
3367 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2023700032,12/18/2017,Open,Site to be cleaned.,,1009797,240452
217 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004260002,12/18/2017,Open,Site to be cleaned.,,986060,202233
536 EAST   14 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004070026,12/18/2017,Open,Site to be cleaned.,,990085,205174
4413 THIRD AVENUE,BRONX,06 BRONX,Precinct 48,15,2030480052,12/18/2017,Open,Site to be cleaned.,,1013821,249614
702 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050260264,12/13/2017,Open,Site to be cleaned.,,995348,178334
478 40 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007140039,12/22/2017,Open,Site to be cleaned.,,982824,176485
3368 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2026080001,11/18/2017,Open,Site to be cleaned.,,1009853,240618
59 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003080016,06/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2017,986770,200434
1201 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030070003,08/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1005157,196877
36-09 BUD PLACE,QUEENS,07 QUEENS,Precinct 109,20,4049690006,10/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,11/07/2017,1030235,216956
162 VAN DIKE STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005960006,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2017,979768,185803
704 THIRD AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006440080,09/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2017,984699,180923
160-31 UNION TURNPIKE,QUEENS,08 QUEENS,Precinct 107,24,4068310114,04/06/2017,Closed,Graffiti is intentional.,,1037773,201884
236 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007070017,09/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,12/07/2017,981581,177815
